project_id,project_name,location,start_date,end_date,status,funding_source,key_goals,climate_practices,budget_spent,budget_allocated
P001,Kano Rice Expansion,Kano,2025-01-01,2026-12-31,Active,FGN Grant,Increase rice yields,Conservation Tillage,2500000,5000000
P002,Kaduna Youth Agro,Kaduna,2025-02-01,2026-06-30,Planning,World Bank,Youth employment,Organic Fertilizer,1200000,3000000
P003,Lagos Urban Farms,Lagos,2025-01-15,2025-12-31,Active,Private Investor,Urban food supply,Drip Irrigation,2000000,2500000
P004,Oyo Cassava Boost,Oyo,2025-03-01,2026-02-28,Pending,FGN/IFAD,Improve cassava processing,Agroforestry,1500000,4000000
P005,Sokoto Dryland Project,Sokoto,2025-04-01,2026-03-31,Active,EU Grant,Combat desertification,Drought-Resistant Crops,3000000,6000000
P006,Niger Irrigation Upgrade,Niger,2025-05-15,2027-04-30,Active,AfDB,Expand irrigation networks,Water Harvesting,1800000,3500000
P007,Benue Maize Revolution,Benue,2025-06-01,2026-05-31,Planning,FGN Loan,Boost maize production,Integrated Pest Mgmt,5000000,7000000
P008,Plateau Potato Program,Plateau,2025-07-01,2026-06-30,Active,IFAD,Improve potato yields,Crop Rotation,1000000,2200000
P009,Cross River Cocoa Rehab,Cross River,2025-08-01,2027-07-31,Pending,Private Investor,Cocoa farm rehabilitation,Shade-Grown Cocoa,2000000,4800000
P010,Borno Resilience Farms,Borno,2025-09-01,2026-08-31,Active,UNDP,Support displaced farmers,Climate-Smart Farming,2300000,3300000
P011,Enugu Oil Palm Estates,Enugu,2025-10-01,2026-09-30,Active,FGN Grant,Revive oil palm plantations,Zero-Burning Practice,2700000,5500000
P012,Kwara Soybean Initiative,Kwara,2025-11-01,2026-10-31,Planning,AfDB,Promote soybean cultivation,No-Till Farming,3100000,6200000
P013,Delta Aquaculture Drive,Delta,2025-12-01,2026-11-30,Active,World Bank,Increase fish production,Integrated Ponds Mgmt,2000000,2800000
P014,Ogun Poultry Expansion,Ogun,2026-01-01,2026-12-31,Pending,FGN/Private,Scale up poultry farms,Waste-to-Energy,1400000,3900000
P015,Ekiti Organic Vegetables,Ekiti,2026-02-01,2026-12-31,Active,IFAD,Develop organic vegetable hubs,Composting,4000000,7500000
P016,Taraba Beekeeping Network,Taraba,2026-03-01,2027-02-28,Active,EU Grant,Honey production & pollination,Forest-Friendly Apiary,900000,2400000
P017,Zamfara Livestock Upgrade,Zamfara,2026-04-01,2027-03-31,Planning,AfDB,Modernize livestock rearing,Rotational Grazing,1800000,4600000
P018,Abia Rice Millers Cluster,Abia,2026-05-01,2027-04-30,Active,FGN Grant,Support local rice millers,Energy-Efficient Mills,2200000,3100000
P019,Bayelsa Wetlands Farming,Bayelsa,2026-06-01,2027-05-31,Pending,UNDP,Adaptive wetland agriculture,Mangrove Protection,2900000,5700000
P020,FCT Urban Agri-Tech Hub,FCT Abuja,2026-07-01,2027-06-30,Active,Private Investor,Urban agri-tech incubation,Vertical Farming,3400000,6500000
